CRN,Subject,Number,Section,Title,Meeting Days,Meeting Times,Meeting Locations,Instructors
13726,ENG,111, BD,Composition and Rhetoric,TR,10:05am-11:25am,BAC 254,Staff
16292,ENG,111, BE,Composition and Rhetoric,TR,10:05am-11:25am,BOY 132,Staff
14845,ENG,111, BF,Composition and Rhetoric,TR,10:05am-11:25am,UPH 258,Staff
14985,ENG,111, BG,Composition and Rhetoric,WF,10:05am-11:25am,ART 103,Staff
13207,ENG,111, BH,Composition and Rhetoric,WF,10:05am-11:25am,BAC 108,Staff
13721,ENG,111, BI,Composition and Rhetoric,WF,10:05am-11:25am,LWS 304,Staff
13722,ENG,111, EA,Composition and Rhetoric,MW,11:40am-1:00pm,BAC 143,Staff
13702,ENG,111, EB,Composition and Rhetoric,MW,11:40am-1:00pm,BAC 256,Staff
15804,ENG,111, EC,Composition and Rhetoric,MW,11:40am-1:00pm,LWS 304,Staff
13724,ENG,111, ED,Composition and Rhetoric,TR,11:40am-1:00pm,UPH 167,Staff
13698,ENG,111, EE,Composition and Rhetoric,TR,11:40am-1:00pm,BAC 254, Jen Sammons
13699,ENG,111, EF,Composition and Rhetoric,TR,11:40am-1:00pm,BAC 143,Staff
13697,ENG,111, EG,Composition and Rhetoric,TR,11:40am-1:00pm,IRV 124,Staff
15809,ENG,111, EH,Composition and Rhetoric,TR,11:40am-1:00pm,UPH 364,Staff
14272,ENG,111, EI,Composition and Rhetoric,WF,11:40am-1:00pm,BAC 045,Staff
15806,ENG,111, EJ,Composition and Rhetoric,WF,11:40am-1:00pm,IRV 242,Staff
15805,ENG,111, JA,Composition and Rhetoric,MW,1:15pm-2:35pm,UPH 226,Staff
15810,ENG,111, JB,Composition and Rhetoric,MW,1:15pm-2:35pm,BAC 250,Staff
15807,ENG,111, JC,Composition and Rhetoric,MW,1:15pm-2:35pm,BAC 256,Staff
13696,ENG,111, JD,Composition and Rhetoric,MW,1:15pm-2:35pm,UPH 167,Staff
14984,ENG,111, JE,Composition and Rhetoric,MW,1:15pm-2:35pm,BOY 132,Staff
13701,ENG,111, JF,Composition and Rhetoric,TR,1:15pm-2:35pm,BAC 254,Staff
16983,ENG,111, JG,Composition and Rhetoric,TR,1:15pm-2:35pm,UPH 258,Staff
17230,ENG,111, JH,Composition and Rhetoric,TR,1:15pm-2:35pm,BAC 256,Staff
13704,ENG,111, NA,Composition and Rhetoric,MW,2:50pm-4:10pm,BOY 132,Staff
17231,ENG,111, NB,Composition and Rhetoric,MW,2:50pm-4:10pm,BAC 256,Staff
15808,ENG,111, NC,Composition and Rhetoric,MW,2:50pm-4:10pm,BAC 143,Staff
15811,ENG,111, ND,Composition and Rhetoric,MW,2:50pm-4:10pm,BAC 250,Staff
13703,ENG,111, NE,Composition and Rhetoric,MW,2:50pm-4:10pm,BAC 264,Staff
14844,ENG,111, NF,Composition and Rhetoric,TR,2:50pm-4:10pm,HIS 200,Staff
17232,ENG,111, NG,Composition and Rhetoric,TR,2:50pm-4:10pm,BAC 254, Jen Sammons
16395,ENG,111, NH,Composition and Rhetoric,TR,2:50pm-4:10pm,BAC 108,Staff
16396,ENG,111, PA,Composition and Rhetoric,MW,4:25pm-5:45pm,BAC 131,Staff
16984,ENG,111, PB,Composition and Rhetoric,MW,4:25pm-5:45pm,BAC 143,Staff
16985,ENG,111, PC,Composition and Rhetoric,TR,4:25pm-5:45pm,BAC 250,Staff
17822,ENG,119,  A,ENG for Int'l Grad Students,MW,10:05am-11:25am,BAC 154,Dr. Tony Cimasko
17821,ENG,123,  A,Introduction To Poetry,MW,10:05am-11:25am,UPH 361,Ms. Cathy Wagner
16986,ENG,134,  A,Introduction To Shakespeare,MW,2:50pm-4:10pm,UPH 262,Ms. Lauren Van Atta
14477,ENG,171,  A,Humanities and Technology,MW,11:40am-1:00pm,BAC 250,Dr. Tim Lockridge
13149,ENG,213,  B,Writing for Film and TV,TR,11:40am-1:00pm,WIH 160,"Tchernev, John"
18693,ENG,220A,  A,"Lit & Film: Classics, Indies",TR,11:40am-1:00pm,KRG 319,Dr. Katie Johnson
16995,ENG,222,  A,Rhetoric of Info & Data Visual,TR,1:15pm-2:35pm,WEB ,"Porter, James"
12161,ENG,224,  A,Prof Com & Digital Rhetoric,MW,10:05am-11:25am,BAC 264,Dr. Adam Strantz
13706,ENG,224,  B,Prof Com & Digital Rhetoric,MW,11:40am-1:00pm,BAC 252,Dr. Adam Strantz
13495,ENG,224,  C,Prof Com & Digital Rhetoric,TR,10:05am-11:25am,BAC 264,Ms. Emma Boddy
14005,ENG,225,  A,Advanced Composition,TR,8:30am-9:50am,BAC 250,"Bechtel, Gabriele"
14006,ENG,225,  B,Advanced Composition,MW,10:05am-11:25am,BOY 132,"Bromley, James"
17850,ENG,225,  C,Advanced Composition,TR,10:05am-11:25am,BAC 250,"Bechtel, Gabriele"
14156,ENG,225,  D,Advanced Composition,TR,10:05am-11:25am,BAC 138,"Peterson, Kaara"
13709,ENG,225,  E,Advanced Composition,TR,11:40am-1:00pm,BAC 250,"Peterson, Kaara"
18202,ENG,225,  F,Advanced Composition,MW,11:40am-1:00pm,BOY 132,"Bromley, James"
13708,ENG,225,  G,Advanced Composition,MW,1:15pm-2:35pm,IRV 242,Staff
14067,ENG,225,  H,Advanced Composition,MW,2:50pm-4:10pm,UPH 258,Staff
10115,ENG,226,  A,Intro to Creative Writing,WF,8:30am-9:50am,UPH 226,Staff
