CRN,Subject,Number,Section,Title,Meeting Days,Meeting Times,Meeting Locations,Instructors
16868,SLM,120N, QA,Nature Fit,MW,1:15pm-2:20pm,PHI 033B,Staff
16869,SLM,120N, QB,Nature Fit,MW,2:50pm-3:55pm,PHI 033B,Staff
16954,SLM,130O,  A,Basic Ice Skating,MW,2:50pm-3:45pm,ICE 122, Zakareya Yousef
16955,SLM,130O,  B,Basic Ice Skating,MW,4:25pm-5:20pm,ICE 122, Zakareya Yousef
16959,SLM,130O,  C,Basic Ice Skating,TR,11:40am-12:35pm,ICE 122,"Goodman, David"
16961,SLM,130O,  D,Basic Ice Skating,TR,1:15pm-2:10pm,ICE 122,"Goodman, David"
16962,SLM,130O,  E,Basic Ice Skating,TR,2:50pm-3:45pm,ICE 122, Zakareya Yousef
16870,SLM,140A, QA,Basketball,MW,2:50pm-3:55pm,PHI 033A,Staff
16871,SLM,140A, QB,Basketball,MW,11:40am-12:45pm,PHI 033A,Staff
16873,SLM,140A, QD,Basketball,TR,1:15pm-2:20pm,PHI 033A,Staff
17904,SLM,140A, QE,Basketball,TR,2:50pm-3:55pm,PHI 033A,Staff
16953,SLM,140H,  A,Ice Hockey,MW,1:15pm-2:10pm,ICE 122, Zach Sens
16903,SLM,140M,  A,Broomball,MW,11:40am-12:35pm,ICE 106, Zakareya Yousef
16904,SLM,140M,  B,Broomball,MW,1:15pm-2:10pm,ICE 106, Zakareya Yousef
16956,SLM,140M,  C,Broomball,TR,11:40am-12:35pm,ICE 106, Zakareya Yousef
16958,SLM,140M,  D,Broomball,TR,1:15pm-2:10pm,MCG 415, Zakareya Yousef
16964,SLM,140M,  E,Broomball,MW,10:05am-11:10am,ICE 106, Zakareya Yousef
16965,SLM,140M,  F,Broomball,TR,10:05am-11:10am,ICE 106, Zakareya Yousef
16860,SLM,150A, UA,Beginning Canoeing,TR,11:40am-1:00pm,RSC 055,"Siliko, Jennifer"
16861,SLM,150A, UB,Beginning Canoeing,TR,1:15pm-2:35pm,RSC 055,"Siliko, Jennifer"
16856,SLM,150B, TA,Beginning Backpacking,M,12:10pm-2:00pm,RSC 055,"Siliko, Jennifer"
16857,SLM,150B, TB,Beginning Backpacking,W,12:10pm-2:00pm,RSC 055,"Siliko, Jennifer"
19657,SLM,150B, TC,Beginning Backpacking,M,10:05am-11:55am,RSC 055,"Troy, Elizabeth"
19660,SLM,150B, UA,Beginning Backpacking,M,10:05am-11:55am,RSC 057,"Troy, Elizabeth"
16852,SLM,150C, TA,Beginning Rock Climbing,TR,8:30am-9:50am,RSC 057,"Woods, Bridget"
16853,SLM,150C, TB,Beginning Rock Climbing,TR,10:05am-11:25am,RSC 057,"Woods, Bridget"
16854,SLM,150C, TC,Beginning Rock Climbing,TR,1:15pm-2:35pm,RSC 057,Mr. Bill Sparks
16855,SLM,150C, TD,Beginning Rock Climbing,TR,11:40am-1:00pm,RSC 057,Mr. Bill Sparks
16998,SLM,150E,  A,Beginning Horseback Riding,M,10:05am-11:55am,STB 101,"Ms. Tess Von Hemel; Frey, Beth; Wasser, Amanda"
16999,SLM,150E,  B,Beginning Horseback Riding,M,2:15pm-4:05pm,STB 101,"Ms. Tess Von Hemel; Frey, Beth; Wasser, Amanda"
17000,SLM,150E,  C,Beginning Horseback Riding,M,4:25pm-6:15pm,STB 101,"Ms. Tess Von Hemel; Frey, Beth; Wasser, Amanda"
17001,SLM,150E,  D,Beginning Horseback Riding,T,10:05am-11:55am,STB 101,"Ms. Tess Von Hemel; Frey, Beth; Wasser, Amanda"
17002,SLM,150E,  E,Beginning Horseback Riding,T,12:10pm-2:00pm,STB 101,"Ms. Tess Von Hemel; Frey, Beth; Wasser, Amanda"
17003,SLM,150E,  F,Beginning Horseback Riding,W,2:15pm-4:05pm,STB 101,"Ms. Tess Von Hemel; Frey, Beth; Wasser, Amanda"
17004,SLM,150E,  G,Beginning Horseback Riding,W,4:25pm-6:15pm,STB 101,"Ms. Tess Von Hemel; Frey, Beth; Wasser, Amanda"
17005,SLM,150E,  H,Beginning Horseback Riding,R,10:05am-11:55am,STB 101,"Ms. Tess Von Hemel; Frey, Beth; Wasser, Amanda"
17006,SLM,150E,  I,Beginning Horseback Riding,R,2:15pm-4:05pm,STB 101,"Ms. Tess Von Hemel; Frey, Beth; Wasser, Amanda"
17007,SLM,150E,  J,Beginning Horseback Riding,R,4:25pm-6:15pm,STB 101,"Ms. Tess Von Hemel; Frey, Beth; Wasser, Amanda"
17008,SLM,150E,  K,Beginning Horseback Riding,F,10:05am-11:55am,STB 101,"Ms. Tess Von Hemel; Frey, Beth; Wasser, Amanda"
17010,SLM,150E,  L,Beginning Horseback Riding,F,12:10pm-2:00pm,STB 101,"Ms. Tess Von Hemel; Frey, Beth; Wasser, Amanda"
17011,SLM,150F,  A,Intermediate Horseback Riding,T,2:15pm-4:05pm,STB 101,"Ms. Tess Von Hemel; Frey, Beth; Wasser, Amanda"
17012,SLM,150F,  B,Intermediate Horseback Riding,F,2:15pm-4:05pm,STB 101,"Ms. Tess Von Hemel; Frey, Beth; Wasser, Amanda"
17013,SLM,150H,  A,Advanced Horseback Riding,R,8:00am-9:50am,STB 101,"Ms. Tess Von Hemel; Frey, Beth; Wasser, Amanda"
19658,SLM,150K, UA,Intermediate Rock Climbing,TR,10:05am-11:25am,RSC 057,"Woods, Bridget"
19659,SLM,150K, UB,Intermediate Rock Climbing,TR,11:40am-1:00pm,RSC 057,"Woods, Bridget"
16851,SLM,195,  A,Stress Management,MW,12:10pm-1:05pm,RSC 080,Staff
16293,SLM,195,  B,Stress Management,MW,12:10pm-1:05pm,RSC 080,Staff
16294,SLM,195,  C,Stress Management,TR,12:10pm-1:05pm,RSC 080,Staff
16295,SLM,195,  D,Stress Management,TR,12:10pm-1:05pm,RSC 080,Staff
16296,SLM,195,  E,Stress Management,TR,1:15pm-2:10pm,RSC 080,Staff
16297,SLM,195,  F,Stress Management,TR,1:15pm-2:10pm,RSC 080,Staff
17918,SLM,195,  I,Stress Management,TR,2:50pm-3:45pm,RSC 080,Staff
17919,SLM,195,  J,Stress Management,TR,2:50pm-3:45pm,RSC 080,Staff
18346,SLM,195, UA,Stress Management,|MW,|1:15pm-2:10pm,WEB |RSC 080,Staff
18347,SLM,195, UB,Stress Management,|MW,|1:15pm-2:10pm,WEB |RSC 080,Staff
16777,SLM,212,  A,Introduction Sport Management,MW,8:30am-9:50am,LWS 304, Rob Rude
16778,SLM,212,  B,Introduction Sport Management,TR,10:05am-11:25am,MCG 222,"Dunwoody, Ruchelle"
